"DONNEES - Effectifs des médecins"
"ANNEE - 2018"
"SEXE - Ensemble tous sexes confondus"

,ZONE INSCRIPT,"FRANCE ENTIERE","FRANCE Métropolitaine","DROM","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val de Loire","Corse","Grand Est","Guadeloupe","Guyane","Hauts-de-France","Ile-de-France","La Réunion","Martinique","Mayotte","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d’Azur","01 - Ain","02 - Aisne","03 - Allier","04 - Alpes-de-Haute-Provence","05 - Hautes-Alpes","06 - Alpes-Maritimes","07 - Ardèche","08 - Ardennes","09 - Ariège","10 - Aube","11 - Aude","12 - Aveyron","13 - Bouches-du-Rhône","14 - Calvados","15 - Cantal","16 - Charente","17 - Charente-Maritime","18 - Cher","19 - Corrèze","2A - Corse-du-Sud","2B - Haute-Corse","21 - Côte-d’Or","22 - Côtes-d’Armor","23 - Creuse","24 - Dordogne","25 - Doubs","26 - Drôme","27 - Eure","28 - Eure-et-Loir","29 - Finistère","30 - Gard","31 - Haute-Garonne","32 - Gers","33 - Gironde","34 - Hérault","35 - Ille-et-Vilaine","36 - Indre","37 - Indre-et-Loire","38 - Isère","39 - Jura","40 - Landes","41 - Loir-et-Cher","42 - Loire","43 - Haute-Loire","44 - Loire-Atlantique","45 - Loiret","46 - Lot","47 - Lot-et-Garonne","48 - Lozère","49 - Maine-et-Loire","50 - Manche","51 - Marne","52 - Haute-Marne","53 - Mayenne","54 - Meurthe-et-Moselle","55 - Meuse","56 - Morbihan","57 - Moselle","58 - Nièvre","59 - Nord","60 - Oise","61 - Orne","62 - Nord-Pas-de-Calais","63 - Puy-de-Dôme","64 - Pyrénées-Atlantiques","65 - Hautes-Pyrénées","66 - Pyrénées-Orientales","67 - Bas-Rhin","68 - Haut-Rhin","69 - Rhône","70 - Haute-Saône","71 - Saône-et-Loire","72 - Sarthe","73 - Savoie","74 - Haute-Savoie","75 - Paris","76 - Seine-Maritime","77 - Seine-et-Marne","78 - Yvelines","79 - Deux-Sèvres","80 - Somme","81 - Tarn","82 - Tarn-et-Garonne","83 - Var","84 - Vaucluse","85 - Vendée","86 - Vienne","87 - Haute-Vienne","88 - Vosges","89 - Yonne","90 - Territoire de Belfort","91 - Essonne","92 - Hauts-de-Seine","93 - Seine-Saint-Denis","94 - Val-de-Marne","95 - Val-d’Oise","971 - Guadeloupe","972 - Martinique","973 - Guyane","974 - La Réunion","976 - Mayotte"
"Chirurgie orthopédique et traumatologie","Libéraux exclusifs",1746,1719,27,252,71,84,54,9,123,7,0,106,279,12,8,0,68,179,191,101,202,6,5,11,2,6,51,9,2,0,10,8,1,76,18,5,11,17,5,6,5,4,18,12,1,11,16,9,4,4,20,16,70,2,74,55,35,2,17,35,3,7,7,18,3,47,19,0,4,1,29,9,16,2,2,23,2,17,14,6,54,7,2,29,21,27,4,16,32,18,90,2,19,13,17,28,124,35,24,30,2,11,12,6,41,26,10,11,8,4,6,1,24,24,16,17,20,7,8,0,12,0
"Chirurgie orthopédique et traumatologie","Mixtes",799,790,9,83,30,29,21,1,81,1,1,71,209,2,5,0,30,73,55,34,73,9,9,3,3,4,13,1,1,2,4,1,5,32,8,0,4,8,3,0,0,1,9,5,1,5,3,5,1,5,8,7,12,0,19,15,6,1,7,10,2,7,1,8,2,11,4,1,7,1,7,3,6,3,4,11,4,10,15,2,29,8,2,17,2,5,2,3,21,10,28,0,6,6,8,7,103,16,9,18,7,8,5,1,14,7,6,6,4,6,8,0,12,24,9,16,18,1,5,1,2,0
"Chirurgie orthopédique et traumatologie","Salariés hospitaliers",796,763,33,100,37,45,27,7,71,7,4,77,145,14,7,1,38,65,68,29,54,2,11,7,5,4,12,4,6,5,0,8,6,16,9,3,1,9,1,7,3,4,5,7,2,4,10,8,5,3,13,8,7,3,16,10,14,3,11,16,6,1,5,16,1,9,4,3,5,2,5,8,4,3,5,12,0,11,16,2,27,7,7,26,6,7,4,4,18,6,18,1,9,7,3,16,46,9,18,11,0,6,4,4,10,7,3,3,10,6,1,3,12,15,21,10,12,7,7,4,14,1
"Chirurgie orthopédique et traumatologie","Autres salariés",63,61,2,7,1,4,4,1,3,1,0,10,6,0,1,0,4,5,9,2,5,0,0,0,0,1,0,1,3,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3,1,0,0,0,0,1,3,0,1,0,1,2,0,0,0,0,0,2,0,0,10,0,1,0,0,2,0,3,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
"Chirurgie infantile","Ensemble des modes d'exercice",341,325,16,40,12,22,9,2,25,3,1,26,74,8,4,0,14,27,23,15,36,0,0,0,0,0,9,0,0,0,3,0,0,20,5,0,0,0,0,0,0,2,5,6,0,0,7,3,0,0,7,1,11,0,14,11,9,0,4,7,0,1,0,5,0,5,5,0,0,0,6,0,5,0,0,3,0,0,2,0,14,1,0,3,4,2,0,0,6,6,19,0,0,4,0,2,31,9,0,1,0,8,0,0,4,3,0,4,6,0,0,0,1,9,10,20,2,3,4,1,8,0
"Chirurgie infantile","Libéraux exclusifs",39,39,0,4,0,0,0,1,3,0,0,1,6,0,0,0,2,7,7,1,7,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
"Chirurgie infantile","Mixtes",80,79,1,10,5,6,2,0,6,0,0,4,17,0,1,0,7,4,4,3,11,0,0,0,0,0,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,1,2,0,2,1,5,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,2,1,9,0,0,1,0,0,8,5,0,1,0,1,0,0,1,2,0,2,0,0,0,0,0,6,0,1,1,0,1,0,0,0
"Chirurgie infantile","Salariés hospitaliers",210,195,15,25,7,13,7,1,16,3,1,18,50,8,3,0,5,15,11,11,16,0,0,0,0,0,3,0,0,0,3,0,0,11,3,0,0,0,0,0,0,1,2,5,0,0,5,3,0,0,4,0,7,0,4,4,4,0,3,7,0,1,0,4,0,3,4,0,0,0,5,0,4,0,0,2,0,0,1,0,9,0,0,2,4,2,0,0,2,4,6,0,0,3,0,1,20,2,0,0,0,7,0,0,1,1,0,2,6,0,0,0,0,1,9,19,1,3,3,1,8,0
"Chirurgie infantile","Autres salariés",12,12,0,1,0,3,0,0,0,0,0,3,1,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chirurgie plastique reconstructrice et esthétique","Ensemble des modes d'exercice",950,930,20,101,33,26,22,5,66,3,0,49,292,8,8,1,22,57,76,37,144,1,1,2,0,0,58,0,0,0,3,1,0,59,5,1,2,4,2,2,2,3,12,2,0,1,9,5,2,1,8,6,32,0,28,26,13,0,9,15,0,0,3,3,0,22,7,0,2,0,6,3,4,0,0,14,0,3,18,1,26,5,0,9,8,10,1,7,17,7,51,1,7,5,5,10,226,12,2,8,1,8,2,1,16,11,4,5,2,3,0,3,5,19,4,18,10,3,8,0,8,1
"Chirurgie plastique reconstructrice et esthétique","Libéraux exclusifs",583,573,10,71,19,13,16,4,37,3,0,26,146,5,2,0,13,46,55,25,102,1,1,2,0,0,37,0,0,0,3,1,0,44,2,0,2,4,2,2,1,3,9,1,0,1,5,4,2,1,3,4,24,0,20,16,7,0,7,9,0,0,2,3,0,15,4,0,1,0,4,2,2,0,0,7,0,2,6,1,17,2,0,4,7,10,1,6,13,5,31,0,4,3,5,9,115,7,1,5,1,2,2,1,12,9,3,3,2,1,0,0,2,11,2,5,5,3,2,0,5,0
"Chirurgie plastique reconstructrice et esthétique","Mixtes",253,248,5,18,6,9,2,1,15,0,0,14,120,3,2,0,6,8,12,5,32,0,0,0,0,0,19,0,0,0,0,0,0,8,3,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,4,2,3,0,6,6,4,0,1,3,0,0,1,0,0,2,0,0,1,0,2,1,1,0,0,2,0,0,6,0,6,2,0,3,0,0,0,1,4,1,13,1,2,1,0,1,98,2,1,3,0,3,0,0,3,2,0,1,0,1,0,1,2,7,1,4,4,0,2,0,3,0
"Chirurgie plastique reconstructrice et esthétique","Salariés hospitaliers",108,103,5,12,8,4,4,0,11,0,0,9,23,0,4,1,3,3,9,7,10,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,5,0,2,4,2,0,1,3,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0,4,0,1,4,0,3,1,0,2,1,0,0,0,0,1,7,0,1,1,0,0,11,3,0,0,0,3,0,0,1,0,1,1,0,1,0,2,1,1,1,9,0,0,4,0,0,1
"Chirurgie plastique reconstructrice et esthétique","Autres salariés",6,6,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Chirurgie thoracique et cardio-vasculaire","Ensemble des modes d'exercice",474,462,12,54,18,24,11,1,40,1,0,29,121,8,3,0,22,44,43,21,34,0,0,0,0,0,9,0,0,0,0,2,0,20,10,0,1,2,1,1,0,1,7,2,0,1,7,0,0,0,8,7,17,0,18,11,10,0,8,11,0,0,0,7,0,11,2,0,1,1,7,1,9,0,1,7,0,4,10,2,13,1,1,9,9,6,0,5,12,2,21,0,2,2,3,3,55,10,3,10,2,6,0,0,3,2,0,6,6,0,0,0,6,24,13,7,3,1,3,0,8,0
"Chirurgie thoracique et cardio-vasculaire","Libéraux exclusifs",122,120,2,16,0,6,3,0,8,1,0,9,25,1,0,0,4,12,18,3,16,0,0,0,0,0,3,0,0,0,0,1,0,12,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,5,5,1,0,3,2,0,0,0,2,0,2,0,0,1,0,1,0,2,0,0,1,0,1,2,0,5,1,0,3,0,3,0,3,3,0,10,0,0,0,1,1,4,2,2,6,0,0,0,0,1,0,0,0,1,0,0,0,3,6,4,0,0,1,0,0,1,0
"Chirurgie thoracique et cardio-vasculaire","Mixtes",148,143,5,16,7,11,1,0,13,0,0,13,28,5,0,0,4,17,15,11,7,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,2,0,9,0,8,3,4,0,1,3,0,0,0,2,0,6,0,0,0,1,4,0,2,0,1,0,0,3,2,2,4,0,0,5,5,2,0,1,7,2,5,0,1,0,1,0,12,3,1,3,1,4,0,0,2,2,0,3,2,0,0,0,3,4,2,2,1,0,0,0,5,0
"Chirurgie thoracique et cardio-vasculaire","Salariés hospitaliers",198,193,5,21,11,7,7,1,19,0,0,6,66,2,3,0,14,15,9,7,10,0,0,0,0,0,4,0,0,0,0,0,0,6,7,0,0,0,1,1,0,1,3,0,0,1,7,0,0,0,2,3,2,0,5,3,5,0,4,6,0,0,0,2,0,3,2,0,0,0,2,1,5,0,0,6,0,0,6,0,4,0,1,0,4,1,0,1,2,0,6,0,1,2,1,2,38,5,0,1,1,2,0,0,0,0,0,3,3,0,0,0,0,14,6,5,2,0,3,0,2,0
"Chirurgie thoracique et cardio-vasculaire","Autres salariés",6,6,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Chirurgie urologique","Ensemble des modes d'exercice",1311,1278,33,160,59,64,51,8,111,10,3,117,227,14,6,0,51,122,121,66,121,6,8,12,1,5,33,5,4,0,9,7,4,46,13,2,7,14,4,7,5,3,8,10,2,8,16,9,4,10,16,13,39,3,30,26,21,2,16,19,5,6,5,14,1,27,14,1,7,2,17,4,16,3,4,12,1,17,25,4,56,13,6,28,16,14,4,10,20,15,51,4,13,11,9,16,87,24,18,19,6,12,7,5,27,9,7,9,12,6,6,3,15,26,18,27,17,10,6,3,14,0
"Chirurgie urologique","Libéraux exclusifs",638,624,14,79,24,33,26,6,46,4,0,44,85,8,2,0,26,73,76,40,66,3,2,6,0,2,22,3,1,0,3,3,1,18,8,1,3,7,1,2,3,3,3,9,0,5,9,3,4,3,8,7,26,2,24,14,10,2,11,11,3,2,2,5,1,14,7,0,5,1,12,2,8,1,4,4,0,6,5,2,17,4,1,14,9,12,4,8,14,7,26,1,3,6,4,7,22,11,10,9,1,7,5,5,19,5,4,4,8,3,2,1,8,10,12,8,6,4,2,0,8,0
"Chirurgie urologique","Mixtes",362,356,6,42,22,16,9,1,31,2,0,37,78,2,2,0,13,30,23,16,38,2,3,3,1,2,5,2,1,0,1,2,1,21,4,1,2,5,1,4,1,0,3,1,0,1,6,2,0,3,5,4,6,1,5,8,7,0,2,3,1,1,0,1,0,7,3,0,1,0,4,1,3,0,0,4,0,3,13,0,18,6,2,8,3,2,0,1,4,5,17,3,5,4,3,5,34,6,8,8,4,2,0,0,5,4,1,2,3,0,2,2,3,5,4,10,6,2,2,0,2,0
"Chirurgie urologique","Salariés hospitaliers",293,280,13,38,13,14,15,1,32,4,3,30,62,4,2,0,9,19,21,10,16,1,3,3,0,1,6,0,2,0,5,2,2,6,1,0,2,2,2,1,1,0,2,0,2,2,1,4,0,3,3,2,7,0,1,3,3,0,3,5,1,3,3,8,0,6,4,1,1,1,1,1,5,2,0,4,1,8,7,2,15,3,3,6,3,0,0,1,0,3,8,0,5,1,2,4,31,4,0,2,1,3,2,0,3,0,2,3,1,3,2,0,3,11,2,9,4,4,2,3,4,0
"Chirurgie urologique","Autres salariés",18,18,0,1,0,1,1,0,2,0,0,6,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Chirurgie vasculaire","Ensemble des modes d'exercice",549,538,11,78,19,26,17,3,44,4,0,42,79,6,1,0,29,54,51,36,60,4,2,6,1,0,14,2,1,0,4,3,0,28,10,4,2,8,2,2,2,1,6,5,0,4,9,0,0,2,6,6,12,1,17,14,9,2,4,6,0,2,2,8,1,13,5,4,3,0,10,2,6,0,1,10,0,6,3,0,23,1,1,10,6,5,2,3,4,12,29,0,2,6,4,8,35,16,4,9,4,6,4,2,12,5,6,6,1,4,0,2,6,9,5,5,6,4,1,0,6,0
"Chirurgie vasculaire","Libéraux exclusifs",252,248,4,39,9,12,10,2,14,1,0,15,32,2,1,0,15,30,23,17,30,1,0,3,1,0,6,1,0,0,1,1,0,11,6,2,2,6,2,0,1,1,3,3,0,0,5,0,0,1,2,2,8,1,9,5,6,0,2,2,0,1,2,3,0,7,3,0,3,0,5,1,2,0,0,4,0,1,0,0,5,0,1,5,2,4,2,0,1,3,18,0,1,3,2,5,10,7,1,7,3,5,2,2,10,2,2,2,0,3,0,0,2,5,1,3,3,1,1,0,2,0
"Chirurgie vasculaire","Mixtes",127,127,0,14,6,5,2,0,11,0,0,10,22,0,0,0,4,12,11,12,18,2,2,2,0,0,6,1,1,0,1,0,0,10,2,1,0,2,0,0,0,0,1,2,0,3,4,0,0,0,1,1,3,0,4,4,1,0,2,0,0,1,0,3,1,5,0,0,0,0,3,0,1,0,1,2,0,1,2,0,5,0,0,2,2,0,0,1,1,2,0,0,1,0,0,2,15,2,0,1,1,1,2,0,0,2,3,1,0,1,0,0,2,0,2,2,0,0,0,0,0,0
"Chirurgie vasculaire","Salariés hospitaliers",159,152,7,23,4,8,5,1,19,3,0,14,24,4,0,0,8,12,15,7,12,1,0,1,0,0,2,0,0,0,2,2,0,7,1,1,0,0,0,2,1,0,2,0,0,1,0,0,0,1,3,2,1,0,4,4,2,2,0,3,0,0,0,2,0,1,2,4,0,0,2,0,3,0,0,4,0,3,1,0,11,0,0,3,1,1,0,2,2,7,11,0,0,3,2,1,10,7,2,1,0,0,0,0,2,1,1,3,1,0,0,2,2,4,2,0,3,3,0,0,4,0
"Chirurgie vasculaire","Autres salariés",11,11,0,2,0,1,0,0,0,0,0,3,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chirurgie viscérale et digestive","Ensemble des modes d'exercice",1065,1034,31,116,65,70,30,5,88,8,5,71,182,15,3,0,51,101,102,64,89,4,9,6,2,3,16,4,2,2,2,8,2,37,15,3,8,8,3,3,3,2,14,15,0,6,12,7,4,3,15,13,20,3,33,27,24,0,10,20,4,7,5,11,5,18,9,2,10,0,15,10,4,2,4,16,3,16,22,6,27,7,5,20,11,12,4,9,23,9,29,3,12,11,4,12,58,17,19,16,6,8,10,2,21,10,16,5,3,5,7,7,10,14,20,27,18,8,3,5,15,0
"Chirurgie viscérale et digestive","Libéraux exclusifs",390,380,10,37,24,32,15,1,29,5,2,27,53,3,0,0,22,43,37,25,35,0,1,1,0,0,6,2,1,0,2,3,0,13,6,0,3,2,1,1,1,0,8,6,0,2,5,3,1,1,9,4,7,0,15,13,14,0,7,4,0,2,3,4,0,5,3,0,5,0,7,4,1,1,1,5,2,3,5,3,13,2,0,8,5,8,0,6,8,4,15,0,4,5,1,2,18,11,8,5,2,3,2,2,11,5,7,1,2,0,2,2,3,2,6,7,4,5,0,2,3,0
"Chirurgie viscérale et digestive","Mixtes",206,205,1,12,12,11,7,0,20,0,0,19,48,0,1,0,2,16,23,9,26,2,2,0,1,2,5,0,0,2,0,3,0,12,0,0,3,0,1,0,0,0,3,2,0,1,3,0,0,1,1,3,4,0,3,5,4,0,2,0,1,2,0,0,2,1,3,2,2,0,2,0,1,0,1,4,0,4,7,0,3,3,0,8,0,2,0,2,5,2,7,0,2,1,0,1,22,2,2,5,2,3,2,0,3,3,4,1,0,1,2,1,1,3,5,4,6,0,1,0,0,0
"Chirurgie viscérale et digestive","Salariés hospitaliers",452,434,18,66,27,27,8,4,35,3,2,23,80,11,2,0,26,42,39,30,27,2,6,5,1,1,5,2,1,0,0,1,2,12,9,3,2,6,1,2,2,2,3,7,0,3,4,4,3,1,5,5,8,3,15,9,6,0,1,16,2,3,2,7,3,12,3,0,3,0,6,6,1,1,2,7,0,9,9,3,10,1,5,4,6,2,4,1,9,3,6,3,6,5,3,9,17,3,9,6,2,2,6,0,6,2,5,3,1,4,3,3,6,9,9,16,8,3,2,2,11,0
"Chirurgie viscérale et digestive","Autres salariés",17,15,2,1,2,0,0,0,4,0,1,2,1,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"Dermatologie et vénéréologie","Ensemble des modes d'exercice",3918,3848,70,410,139,164,107,13,283,11,13,239,1054,28,18,0,142,349,359,163,426,12,17,14,6,8,130,12,6,2,10,15,7,195,39,7,13,28,5,5,9,4,44,15,0,20,47,20,13,11,53,43,135,4,149,102,65,5,51,70,6,13,9,36,6,79,26,3,9,1,38,16,36,6,7,52,5,31,41,5,135,15,6,45,39,50,10,15,80,37,136,6,17,20,20,38,505,68,41,87,8,27,18,4,65,22,19,29,25,10,7,7,61,148,52,101,59,11,18,13,28,0
"Dermatologie et vénéréologie","Libéraux exclusifs",2381,2339,42,280,72,115,75,13,193,9,4,127,469,21,8,0,93,240,260,109,293,9,11,10,6,6,92,9,5,1,6,10,5,114,25,4,12,20,3,2,9,4,18,9,0,15,26,16,10,8,34,31,96,4,101,74,50,5,36,54,3,11,6,22,2,59,17,3,7,1,22,15,21,4,4,33,4,22,31,4,71,9,3,25,23,42,9,12,60,21,85,4,10,13,15,31,188,40,24,62,4,11,12,2,58,17,11,18,8,8,5,2,42,80,13,28,32,9,8,4,21,0
"Dermatologie et vénéréologie","Mixtes",813,807,6,61,39,28,11,0,56,0,0,53,343,2,4,0,26,54,34,27,75,3,4,0,0,2,22,1,1,0,2,2,0,42,8,1,1,5,2,3,0,0,20,4,0,0,10,2,2,1,11,5,16,0,23,9,7,0,4,9,0,1,3,9,3,6,1,0,2,0,11,0,8,2,3,11,1,6,7,1,25,4,2,10,8,4,0,0,15,8,19,1,3,3,1,5,173,14,12,18,2,10,1,1,4,5,4,5,8,1,2,2,15,48,18,42,17,0,4,0,2,0
"Dermatologie et vénéréologie","Salariés hospitaliers",568,549,19,64,26,21,19,0,30,2,7,43,167,4,6,0,22,48,48,27,34,0,2,4,0,0,8,2,0,1,2,2,1,24,5,2,0,3,0,0,0,0,6,2,0,5,11,2,1,1,8,6,20,0,19,11,8,0,10,7,2,1,0,5,1,14,8,0,0,0,5,1,7,0,0,6,0,3,2,0,27,2,1,6,8,4,1,2,4,8,27,1,4,4,4,2,89,14,5,7,2,6,3,1,2,0,4,5,9,1,0,2,3,11,15,27,10,2,6,7,4,0
"Dermatologie et vénéréologie","Autres salariés",156,153,3,5,2,0,2,0,4,0,2,16,75,1,0,0,1,7,17,0,24,0,0,0,0,0,8,0,0,0,0,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,6,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,12,0,0,4,0,0,0,1,1,0,5,0,0,0,0,0,55,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,9,6,4,0,0,0,2,1,0
"Endocrinologie et métabolisme","Ensemble des modes d'exercice",1965,1922,43,237,64,73,58,8,127,9,2,159,491,24,8,0,66,157,235,72,175,8,12,6,3,9,48,3,4,3,7,12,6,86,21,4,3,10,4,7,4,4,19,10,0,6,15,19,2,9,23,26,85,5,59,64,22,4,18,41,6,5,4,19,4,27,19,4,10,0,23,7,22,5,5,15,3,18,18,5,87,15,3,31,18,21,5,11,30,21,84,2,12,8,10,21,235,33,17,37,5,14,11,3,14,15,9,15,16,2,0,5,29,67,37,40,29,9,8,2,24,0
"Endocrinologie et métabolisme","Libéraux exclusifs",522,504,18,51,14,15,21,7,32,5,1,23,98,8,4,0,15,54,81,19,74,3,1,1,1,4,25,0,0,2,3,4,4,30,4,2,1,2,0,4,4,3,4,0,0,1,3,6,0,2,6,7,26,0,25,24,8,2,9,8,0,1,1,1,0,10,7,0,4,0,4,1,2,0,0,4,0,1,1,2,13,2,0,4,3,10,1,5,15,7,20,0,3,3,3,4,34,10,5,15,0,3,6,2,9,5,2,5,1,0,0,2,8,15,7,7,7,5,4,1,8,0
"Endocrinologie et métabolisme","Mixtes",325,318,7,45,10,5,8,1,12,1,0,17,120,4,2,0,9,16,36,6,33,3,4,1,1,1,7,0,2,0,0,1,0,20,4,0,0,2,1,1,0,1,5,0,0,1,1,3,0,3,0,4,13,3,3,9,1,0,1,8,1,1,0,5,0,4,3,1,0,0,1,0,3,0,1,0,0,4,3,0,8,2,0,2,2,2,1,2,4,0,19,1,1,0,1,3,62,5,2,13,0,1,1,1,1,3,0,2,4,0,0,1,6,17,5,8,7,1,2,0,4,0
"Endocrinologie et métabolisme","Salariés hospitaliers",1034,1016,18,133,38,50,26,0,80,3,1,112,240,12,2,0,42,82,106,46,61,2,7,4,1,3,13,3,2,1,4,6,2,33,13,2,2,6,2,2,0,0,10,9,0,4,10,10,2,4,17,14,42,2,29,26,12,1,8,25,5,2,2,12,4,13,9,3,6,0,17,6,17,4,4,11,3,12,14,2,60,11,3,24,12,8,3,3,11,12,40,1,8,5,6,13,120,18,10,9,5,10,4,0,4,7,7,7,11,2,0,2,15,26,23,24,13,3,2,1,12,0
"Endocrinologie et métabolisme","Autres salariés",84,84,0,8,2,3,3,0,3,0,0,7,33,0,0,0,0,5,12,1,7,0,0,0,0,1,3,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4,0,2,5,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,6,0,0,1,1,1,0,1,0,2,5,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,2,1,2,0,0,0,0,0
"Génétique médicale","Ensemble des modes d'exercice",257,251,6,33,11,9,9,1,22,1,0,17,74,4,1,0,5,15,20,13,22,0,0,0,0,0,5,0,0,0,1,0,0,16,2,0,0,1,0,0,0,1,8,0,0,0,3,0,0,0,1,1,9,0,11,10,7,0,7,8,0,0,1,4,0,9,1,0,0,0,2,0,4,0,0,3,0,1,1,0,10,0,0,1,3,0,0,0,9,4,15,0,0,1,3,0,54,3,0,7,0,6,0,0,1,0,1,2,1,0,0,0,1,4,2,4,2,1,1,0,4,0
"Génétique médicale","Libéraux exclusifs",5,5,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Génétique médicale","Mixtes",4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
